Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
08-10-2008,BAJAJ-AUTO,582.65,555,571.95,496,535.55,544.15,537.81,86133,4.63E+12
10-10-2008,BAJAJ-AUTO,544.15,501.1,524.9,425,425,462.65,500.2,208322,1.04E+13
13-10-2008,BAJAJ-AUTO,462.65,457,527.9,450,511,514.5,500.36,153103,7.66E+12
14-10-2008,BAJAJ-AUTO,514.5,527,590.65,525,534,540.6,557.36,183201,1.02E+13
15-10-2008,BAJAJ-AUTO,540.6,523.05,545,459.5,544,529.2,498.19,156439,7.79E+12
16-10-2008,BAJAJ-AUTO,529.2,499.3,550,499.3,534,535.45,535.83,179097,9.60E+12
17-10-2008,BAJAJ-AUTO,535.45,515.15,549.85,507,530,523.65,531.52,25061,1.33E+12
20-10-2008,BAJAJ-AUTO,523.65,544,560,511.4,560,541.5,531.89,176178,9.37E+12
21-10-2008,BAJAJ-AUTO,541.5,536,565,533.8,565,560.9,548.85,15724,8.63E+11
22-10-2008,BAJAJ-AUTO,560.9,543.5,563.9,524.95,543.75,538.75,542.79,31760,1.72E+12
23-10-2008,BAJAJ-AUTO,538.75,526,544.8,502,542.8,529.95,528.42,22196,1.17E+12
24-10-2008,BAJAJ-AUTO,529.95,516.05,526,456.05,479.9,464.9,476.43,232905,1.11E+13
27-10-2008,BAJAJ-AUTO,464.9,455.05,480,435,465,468.2,461.98,200647,9.27E+12
28-10-2008,BAJAJ-AUTO,468.2,551.9,551.9,485,508.3,505.35,502.82,4966,2.50E+11
29-10-2008,BAJAJ-AUTO,505.35,507,555,481,530,531.05,523.97,106956,5.60E+12
31-10-2008,BAJAJ-AUTO,531.05,555,563,535.2,540,544.9,548.83,691150,3.79E+13
03-11-2008,BAJAJ-AUTO,544.9,550,550,495,500,498.45,531.13,1066998,5.67E+13
04-11-2008,BAJAJ-AUTO,498.45,500,507,455,468,469.7,474.56,341268,1.62E+13
05-11-2008,BAJAJ-AUTO,469.7,480,480,440.6,445,444.5,451.91,130247,5.89E+12
06-11-2008,BAJAJ-AUTO,444.5,435,435,410,416,416.95,418.84,264965,1.11E+13
07-11-2008,BAJAJ-AUTO,416.95,420,423.6,409,413.7,410.25,415.69,155936,6.48E+12
10-11-2008,BAJAJ-AUTO,410.25,416,434.5,415.25,426.2,425.85,424.75,72681,3.09E+12
11-11-2008,BAJAJ-AUTO,425.85,425,425,392,399,403.35,413.82,112399,4.65E+12
12-11-2008,BAJAJ-AUTO,403.35,404,406.65,366.1,380,378.95,377.67,105527,3.99E+12
14-11-2008,BAJAJ-AUTO,378.95,404,404,366,371,371.15,370.23,547474,2.03E+13
17-11-2008,BAJAJ-AUTO,371.15,371,371,355,357.9,359.95,360.69,19552,7.05E+11
18-11-2008,BAJAJ-AUTO,359.95,364.9,375,342,354.05,353.85,351.76,22889,8.05E+11
19-11-2008,BAJAJ-AUTO,353.85,350,368,345,364.6,365.05,360.33,30174,1.09E+12
20-11-2008,BAJAJ-AUTO,365.05,360,364,333,343,344.95,349.91,409423,1.43E+13
21-11-2008,BAJAJ-AUTO,344.95,342,343,332.95,337,339.05,336.22,31399,1.06E+12
24-11-2008,BAJAJ-AUTO,339.05,350,354,322.25,330.05,330.15,330.22,31560,1.04E+12
25-11-2008,BAJAJ-AUTO,330.15,354,354,313.6,317,317.85,329.54,351766,1.16E+13
26-11-2008,BAJAJ-AUTO,317.85,329.8,334.9,305.5,328.95,328.75,315.56,128039,4.04E+12
28-11-2008,BAJAJ-AUTO,328.75,307,329.65,307,318,321.65,320.6,133112,4.27E+12
01-12-2008,BAJAJ-AUTO,321.65,324.05,327.15,299,312,308.05,309.28,54065,1.67E+12
02-12-2008,BAJAJ-AUTO,308.05,262,307.05,262,300,301.9,301.98,94917,2.87E+12
03-12-2008,BAJAJ-AUTO,301.9,311.9,311.9,296,305.4,303.8,303.89,43065,1.31E+12
04-12-2008,BAJAJ-AUTO,303.8,304.8,316.5,304.8,312.9,310.65,313.13,66125,2.07E+12
05-12-2008,BAJAJ-AUTO,310.65,306.2,316.75,306.2,315,314.95,314.45,35909,1.13E+12
08-12-2008,BAJAJ-AUTO,314.95,330.7,340.9,322.3,331.9,332.6,330.62,35849,1.19E+12
10-12-2008,BAJAJ-AUTO,332.6,339.75,351,325.1,347.2,339.8,331.22,236991,7.85E+12
11-12-2008,BAJAJ-AUTO,339.8,335.35,358,335.35,355.8,355.15,351.98,62140,2.19E+12
12-12-2008,BAJAJ-AUTO,355.15,353,417,336.25,395,391.7,394.59,407966,1.61E+13
15-12-2008,BAJAJ-AUTO,391.7,419,419,395.05,412,410.35,405.65,169800,6.89E+12
16-12-2008,BAJAJ-AUTO,410.35,400,440,396.25,416,413.2,410.47,128335,5.27E+12
17-12-2008,BAJAJ-AUTO,413.2,420.95,429,385.2,393.2,396.35,419.77,275062,1.15E+13
18-12-2008,BAJAJ-AUTO,396.35,382.3,418.85,382.3,412.9,410.75,406.51,105636,4.29E+12
19-12-2008,BAJAJ-AUTO,410.75,408,421.75,400.1,404.3,404.3,410.27,23434,9.61E+11
22-12-2008,BAJAJ-AUTO,404.3,412,420,403.05,413,413.7,411.19,57361,2.36E+12
23-12-2008,BAJAJ-AUTO,413.7,402.5,414,402.5,408,408.15,408.94,15624,6.39E+11
24-12-2008,BAJAJ-AUTO,408.15,396.5,403,390,391.55,394.6,395.12,101475,4.01E+12
26-12-2008,BAJAJ-AUTO,394.6,388.5,396,370,377,375.3,379.98,70943,2.70E+12
29-12-2008,BAJAJ-AUTO,375.3,389,389,360.45,370.8,370,369.02,136120,5.02E+12
30-12-2008,BAJAJ-AUTO,370,397,397,374,386.95,387.05,383.64,48801,1.87E+12
31-12-2008,BAJAJ-AUTO,387.05,390.05,397.9,382,391,391.1,393.93,53900,2.12E+12
01-01-2009,BAJAJ-AUTO,391.1,407,411,377,410,409.75,399.1,116672,4.66E+12
02-01-2009,BAJAJ-AUTO,409.75,409.4,420,398,420,415.8,411.11,114432,4.70E+12
05-01-2009,BAJAJ-AUTO,415.8,411.15,475.7,411.15,438,440.15,435.38,86312,3.76E+12
06-01-2009,BAJAJ-AUTO,440.15,430.25,440,424,432,434.7,429.31,375475,1.61E+13
07-01-2009,BAJAJ-AUTO,434.7,432,439.9,403.25,410.3,407.25,417.65,79083,3.30E+12
09-01-2009,BAJAJ-AUTO,407.25,390,439.7,390,426.25,427.7,419.57,26601,1.12E+12
12-01-2009,BAJAJ-AUTO,427.7,411.25,436,411.25,425.65,427.7,425.84,68862,2.93E+12
13-01-2009,BAJAJ-AUTO,427.7,448.4,448.4,425.25,438,435.3,434.23,50078,2.17E+12
14-01-2009,BAJAJ-AUTO,435.3,436,440,431,440,438.05,437.55,30391,1.33E+12
15-01-2009,BAJAJ-AUTO,438.05,425,448.8,425,441,443.65,442.27,102825,4.55E+12
16-01-2009,BAJAJ-AUTO,443.65,426,479.9,425,473.8,461.85,452.25,451327,2.04E+13
19-01-2009,BAJAJ-AUTO,461.85,480,503.25,465,498,499,491.6,281503,1.38E+13
20-01-2009,BAJAJ-AUTO,499,490,490,452,464,456.45,474.68,1011320,4.80E+13
21-01-2009,BAJAJ-AUTO,456.45,458.2,458.2,440.15,455,453.2,452.49,49893,2.26E+12
22-01-2009,BAJAJ-AUTO,453.2,468,477.7,455.9,475.5,472.25,466.56,68680,3.20E+12
23-01-2009,BAJAJ-AUTO,472.25,464.05,475,447.9,460,457.55,454.65,38565,1.75E+12
27-01-2009,BAJAJ-AUTO,457.55,450.05,465.95,447,453.05,453.1,454.34,70612,3.21E+12
28-01-2009,BAJAJ-AUTO,453.1,455,468,451.2,463,462.3,460.67,13890,6.40E+11
29-01-2009,BAJAJ-AUTO,462.3,470,487.95,458,472,477.55,474.75,76865,3.65E+12
30-01-2009,BAJAJ-AUTO,477.55,472.5,484.65,462.85,473.65,474.75,474.37,38068,1.81E+12
02-02-2009,BAJAJ-AUTO,474.75,470,493.7,463.05,465.2,466.45,474.07,49978,2.37E+12
03-02-2009,BAJAJ-AUTO,466.45,467,475,444.2,468,459.9,456.1,39896,1.82E+12
04-02-2009,BAJAJ-AUTO,459.9,474,474,451.1,452.95,457.2,461.26,7603,3.51E+11
05-02-2009,BAJAJ-AUTO,457.2,453,460,441.15,456.65,456.45,453.49,17226,7.81E+11
06-02-2009,BAJAJ-AUTO,456.45,446.1,460,446.1,452.5,454.85,454.7,21145,9.61E+11
09-02-2009,BAJAJ-AUTO,454.85,459,462.85,446.3,460,458.4,457.53,46483,2.13E+12
10-02-2009,BAJAJ-AUTO,458.4,469.85,477,462.35,463.5,466.55,469.99,28978,1.36E+12
11-02-2009,BAJAJ-AUTO,466.55,456.1,468.7,454.05,457.95,456.4,460.33,17775,8.18E+11
12-02-2009,BAJAJ-AUTO,456.4,460,484,454.2,478.05,478.25,476.38,189700,9.04E+12
13-02-2009,BAJAJ-AUTO,478.25,483,490,472.2,473.85,476.2,483.93,36817,1.78E+12
16-02-2009,BAJAJ-AUTO,476.2,475.8,491.5,462,465,464.9,479.19,116720,5.59E+12
17-02-2009,BAJAJ-AUTO,464.9,455.1,477.95,455.1,473,475.75,469.42,30053,1.41E+12
18-02-2009,BAJAJ-AUTO,475.75,470,505,461.1,498,495.5,491.52,173850,8.54E+12
19-02-2009,BAJAJ-AUTO,495.5,501.05,509,492.6,496,497.15,496.67,179229,8.90E+12
20-02-2009,BAJAJ-AUTO,497.15,489,501.8,481.15,500,499.65,495.6,36763,1.82E+12
24-02-2009,BAJAJ-AUTO,499.65,484.95,499,483.7,493,493.85,492.1,273081,1.34E+13
25-02-2009,BAJAJ-AUTO,493.85,487,511.85,487,508,509.95,507.61,119739,6.08E+12
26-02-2009,BAJAJ-AUTO,509.95,510,539,510,525,526.05,523.28,80263,4.20E+12
27-02-2009,BAJAJ-AUTO,526.05,534.6,538.5,519.95,537,535.05,529.06,66949,3.54E+12
02-03-2009,BAJAJ-AUTO,535.05,525.25,535,492.5,497.2,506.2,517.14,107647,5.57E+12
03-03-2009,BAJAJ-AUTO,506.2,503.65,503.65,482.2,492.05,486.15,489,104374,5.10E+12
04-03-2009,BAJAJ-AUTO,486.15,487,496,481.15,491.55,490.85,490.16,50317,2.47E+12
05-03-2009,BAJAJ-AUTO,490.85,490.05,509,484,487,487.2,489.21,110801,5.42E+12
06-03-2009,BAJAJ-AUTO,487.2,485,493,477,487,486.75,487.65,18991,9.26E+11
09-03-2009,BAJAJ-AUTO,486.75,494,500,478.05,490.05,494.05,495.59,42927,2.13E+12
12-03-2009,BAJAJ-AUTO,494.05,496,520,490.15,518,517.1,508.33,99959,5.08E+12
13-03-2009,BAJAJ-AUTO,517.1,540,540,515,523,520.1,523.69,224864,1.18E+13
16-03-2009,BAJAJ-AUTO,520.1,525,538,513.25,535,535.6,522.45,154980,8.10E+12
17-03-2009,BAJAJ-AUTO,535.6,526.1,547,526.1,546.25,542.5,538.8,312892,1.69E+13
18-03-2009,BAJAJ-AUTO,542.5,546,584.95,546,578.8,577.6,571.15,147299,8.41E+12
19-03-2009,BAJAJ-AUTO,577.6,578,583.95,555,556,561.7,566.27,77791,4.41E+12
20-03-2009,BAJAJ-AUTO,561.7,550,568,530.05,558,558.2,556.15,159445,8.87E+12
23-03-2009,BAJAJ-AUTO,558.2,578,585,561,580.1,579.75,571.24,83945,4.80E+12
24-03-2009,BAJAJ-AUTO,579.75,588,607.85,584,586.25,588.55,599.41,93357,5.60E+12
25-03-2009,BAJAJ-AUTO,588.55,584.95,628,573,617,615.95,609.56,112348,6.85E+12
26-03-2009,BAJAJ-AUTO,615.95,625,636,608.8,620,619.35,622.53,188429,1.17E+13
27-03-2009,BAJAJ-AUTO,619.35,613.5,635,613.5,635,624.4,622.53,134160,8.35E+12
30-03-2009,BAJAJ-AUTO,624.4,617,636,592.2,620.25,610.4,606.37,120810,7.33E+12
31-03-2009,BAJAJ-AUTO,610.4,615.1,640,581,620,618.45,608.73,196371,1.20E+13
01-04-2009,BAJAJ-AUTO,618.45,624.35,639.1,617,634,634.4,631.77,67080,4.24E+12
02-04-2009,BAJAJ-AUTO,634.4,635,645.1,602.3,645.1,640.75,627.36,338450,2.12E+13
06-04-2009,BAJAJ-AUTO,640.75,641,679.5,636,651.05,655.45,661.31,137094,9.07E+12
08-04-2009,BAJAJ-AUTO,655.45,632,652,631,636,635.6,638.98,119647,7.65E+12
09-04-2009,BAJAJ-AUTO,635.6,643,651.9,602,605,607.15,624.76,161558,1.01E+13
13-04-2009,BAJAJ-AUTO,607.15,613,628.7,596,601.1,605.55,616.88,145254,8.96E+12
15-04-2009,BAJAJ-AUTO,605.55,535,637,535,635,635.25,626.92,362022,2.27E+13
16-04-2009,BAJAJ-AUTO,635.25,641.25,665,638,656,658.85,657.44,279996,1.84E+13
17-04-2009,BAJAJ-AUTO,658.85,662,676,655.1,664.25,665.45,667.57,120726,8.06E+12
20-04-2009,BAJAJ-AUTO,665.45,665,689.8,643.05,648,648.3,672.37,92134,6.19E+12
21-04-2009,BAJAJ-AUTO,648.3,645,681,615.55,637.9,632.3,640.74,65834,4.22E+12
22-04-2009,BAJAJ-AUTO,632.3,647,661.05,630.15,632,634.4,642.98,71207,4.58E+12
23-04-2009,BAJAJ-AUTO,634.4,635,644.7,625.05,633,637.15,637.67,88466,5.64E+12
